data downloaded april 25, from https://delphi.cmu.edu/covidcast/indicator/?date=20210419&sensor=fb-survey-smoothed_hh_cmnty_cli and https://delphi.cmu.edu/covidcast/; download from menu covidcast -> explore an indicator; this file is the indicator COVID-Like Symptoms (the value column... and is per 100 individuals ),,,,,,,,
geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
ak,smoothed_cli,3/27/2021,4/1/2021,5,0.6338321,0.2380859,802,state,fb-survey
al,smoothed_cli,3/27/2021,4/1/2021,5,0.838923,0.1380232,3587.102,state,fb-survey
ar,smoothed_cli,3/27/2021,4/1/2021,5,0.5111446,0.1376276,2366.8941,state,fb-survey
az,smoothed_cli,3/27/2021,4/1/2021,5,0.5915459,0.097494,5131.1274,state,fb-survey
ca,smoothed_cli,3/27/2021,4/1/2021,5,0.5553434,0.0457506,22241.2279,state,fb-survey
co,smoothed_cli,3/27/2021,4/1/2021,5,0.6554469,0.1047356,4807.6982,state,fb-survey
ct,smoothed_cli,3/27/2021,4/1/2021,5,0.303378,0.081871,3735,state,fb-survey
dc,smoothed_cli,3/27/2021,4/1/2021,5,0.877724,0.4252928,413,state,fb-survey
de,smoothed_cli,3/27/2021,4/1/2021,5,0.4839424,0.1813717,1075,state,fb-survey
fl,smoothed_cli,3/27/2021,4/1/2021,5,0.6330208,0.0537829,17342.9986,state,fb-survey
ga,smoothed_cli,3/27/2021,4/1/2021,5,0.7844355,0.1009914,6164.9376,state,fb-survey
hi,smoothed_cli,3/27/2021,4/1/2021,5,0.2559119,0.1412553,1029,state,fb-survey
ia,smoothed_cli,3/27/2021,4/1/2021,5,0.8312013,0.1374343,3725.3938,state,fb-survey
id,smoothed_cli,3/27/2021,4/1/2021,5,1.0135816,0.2111492,1902.7971,state,fb-survey
il,smoothed_cli,3/27/2021,4/1/2021,5,0.622494,0.0702117,10582,state,fb-survey
in,smoothed_cli,3/27/2021,4/1/2021,5,0.8445936,0.1104351,5653.0063,state,fb-survey
ks,smoothed_cli,3/27/2021,4/1/2021,5,0.395549,0.1066324,2900.8583,state,fb-survey
ky,smoothed_cli,3/27/2021,4/1/2021,5,0.791268,0.1300619,3841.937,state,fb-survey
la,smoothed_cli,3/27/2021,4/1/2021,5,0.8618257,0.1382033,3499.5534,state,fb-survey
ma,smoothed_cli,3/27/2021,4/1/2021,5,0.5296188,0.0963535,4703.0085,state,fb-survey
md,smoothed_cli,3/27/2021,4/1/2021,5,0.40638,0.0874758,4086.9982,state,fb-survey
