state,statepop,city,citypop,factfindstate,abbr,code2,statebins,agedist,agedist_percapita,totalvax,totalvax_percapita,dailyvaxrate_percapita,rmean,rlow,rhi,currentinfections_percapita,totalinfected,totalinfected_percapita,betavalue
Alabama,4887871,Birmingham,209880,Alabama,AL,1,48.87871,"[294357, 732005, 2048341, 1024391, 790253]","[6022.192484212452, 14975.947605818566, 41906.60923743691, 20957.81578523656, 16167.632083579947]",1.010415e6,20671.883525567675,521.9,1.2,0.91,1.9,729.0231,499819,10225.69949166007,0.027088
Arkansas,3013825,Little Rock,197881,Arkansas,AR,5,30.13825,"[188464, 472296, 1262726, 600652, 488404]","[6253.31596890994, 15670.982887194845, 41897.7876950387, 19929.88975803174, 16205.453203155459]",683800.0,22688.77589110184,534.7,1.0,0.85,1.2,704.8983,324818,10777.599893822635,0.022715
Arizona,7171646,Phoenix,1660272,Arizona,AZ,4,71.71646,"[429788, 1117319, 3104064, 1382660, 1225259]","[5992.878064533582, 15579.67306250197, 43282.448687511904, 19279.534990990913, 17084.76687220758]",1.883233e6,26259.424963251116,719.9,1.0,0.75,1.2,493.7859,826454,11523.909573896983,0.022869
California,39557045,Los Angeles,3990456,California,CA,6,395.57045,"[2383716, 6013545, 17871126, 7661598, 5426156]","[6026.021407817495, 15202.209871844572, 45178.11176239277, 19368.479116678205, 13717.293594604957]",1.0493528e7,26527.583139741608,978.6,0.86,0.66,1.0,548.9132,3501394,8851.505465082137,0.01913
Colorado,5695564,Denver,716492,Colorado,CO,8,56.95564,"[332201, 856311, 2638318, 1117833, 778132]","[5832.626935629201, 15034.700689870222, 46322.33085257228, 19626.379406850665, 13662.071043359358]",1.596141e6,28024.283459899667,1042.4,1.1,0.94,1.2,932.1426,436602,7665.649968993413,0.024133
Connecticut,3572665,Bridgeport,144900,Connecticut,CT,9,35.72665,"[181710, 499697, 1481961, 808133, 586881]","[5086.119185537967, 13986.673813525758, 41480.54743447818, 22619.892993045807, 16426.980979185006]",1.20018e6,33593.40996147134,1144.5,0.95,0.7,1.1,525.7669999999999,285330,7986.4750823264985,0.020931
District of Columbia,702455,Washington,702455,District of Columbia,DC,11,7.02455,"[45368, 77579, 385751, 111819, 81053]","[6458.492003046459, 11043.981465004876, 54914.692044330244, 15918.315052209751, 11538.532717398268]",178088.0,25352.22896840367,1139.9,0.98,0.84,1.1,652.7415,41419,5896.320760760476,0.021106
Delaware,967171,Wilmington,70635,Delaware,DE,10,9.67171,"[54719, 137277, 389567, 212891, 175890]","[5657.634482423481, 14193.663788513099, 40279.0199458007, 22011.722849423735, 18186.029150998118]",268625.0,27774.302579378418,1007.2,1.0,0.91,1.1,674.4354999999999,88354,9135.302857509168,0.022296
Florida,21299325,Jacksonville,903889,Florida,FL,12,212.99325,"[1139742, 2847777, 8658682, 4535478, 4228160]","[5351.0709846438795, 13370.268776123188, 40652.37748144601, 21293.998753481625, 19851.14551752227]",5.458313e6,25626.69474267377,708.6,1.0,0.93,1.2,683.2235,1909209,8963.7065963358,0.02225
Georgia,10519475,Atlanta,498044,Georgia,GA,13,105.19475,"[656566, 1702686, 4684551, 2104458, 1406148]","[6241.433151369246, 16186.035900080566, 44532.17484712878, 20005.351978116778, 13367.092939524073]",2.202939e6,20941.52987672864,621.6,0.9,0.54,1.1,579.9769,1023487,9729.449425945686,0.020198
Iowa,3156145,Des Moines,216853,Iowa,IA,19,31.56145,"[195636, 490588, 1314240, 637986, 514819]","[6198.574526835744, 15543.899282193943, 41640.672402567056, 20214.09029052848, 16311.639674349562]",936258.0,29664.60666414249,788.1,0.96,0.6,1.1,895.178,282384,8947.117448659677,0.021369
Idaho,1754208,Boise,228790,Idaho,ID,16,17.54208,"[116200, 306687, 752702, 338089, 269851]","[6624.071945858188, 17482.932468669624, 42908.36662471041, 19273.028055966, 15383.067458362977]",433065.0,24687.209270508403,549.2,0.94,0.77,1.1,724.7154999999999,172931,9858.067002316715,0.021095
Illinois,12741080,Chicago,2705994,Illinois,IL,17,127.4108,"[746934, 1906247, 5489892, 2602220, 1898816]","[5862.4072684576195, 14961.423992314623, 43088.1212581665, 20423.857318217924, 14903.100836035877]",3.403952e6,26716.353715697573,926.7,0.96,0.78,1.1,619.1209,1198335,9405.285894131424,0.021492
Indiana,6691878,Indianapolis,867125,Indiana,IN,18,66.91878,"[418340, 1059741, 2880518, 1363385, 1007395]","[6251.4588580365635, 15836.227139825323, 43044.98677351858, 20373.727674055026, 15053.995305951483]",1.59885e6,23892.396125571926,574.1,1.0,0.85,1.1,855.2878000000001,667262,9971.221830403962,0.022496
Kansas,2911505,Wichita,389225,Kansas,KS,20,29.11505,"[185331, 475855, 1218850, 568894, 441646]","[6365.470778858356, 16343.952698003266, 41863.22881121619, 19539.516504350842, 15168.993355670005]",814109.0,27961.792955876772,688.5,1.1,0.87,1.5,664.6659999999999,295861,10161.789177762017,0.024834
Kentucky,4468402,Louisville,620118,Kentucky,KY,21,44.68402,"[272610, 673949, 1872874, 934846, 696608]","[6100.838733847134, 15082.550764232941, 41913.731128040854, 20921.259994064992, 15589.644799192196]",1.284621e6,28749.00243979839,607.1,0.99,0.89,1.1,693.8969000000001,410709,9191.406681851813,0.022103
Louisiana,4659978,New Orleans,391006,Louisiana,LA,22,46.59978,"[301469, 726876, 1980277, 937830, 686414]","[6469.3223873589095, 15598.271064799017, 42495.41521440659, 20125.20230782205, 14729.983703785725]",1.139692e6,24457.025333595993,487.9,1.0,0.86,1.2,984.0527999999999,433785,9308.734933941747,0.022359
Massachusetts,6902149,Boston,694583,Massachusetts,MA,25,69.02149,"[357362, 913216, 3040068, 1489088, 1087837]","[5177.5468770668385, 13230.893740485753, 44045.238664074044, 21574.266217666413, 15760.844919459143]",2.15694e6,31250.267126948434,1256.6,0.89,0.69,1.1,557.0053,591356,8567.708405019945,0.01973
Maryland,6042718,Baltimore,602495,Maryland,MD,24,60.42718,"[361937, 897872, 2564739, 1294794, 891287]","[5989.639099491322, 14858.744028763216, 42443.46666516624, 21427.344449964403, 14749.76988831847]",1.805523e6,29879.319207019093,1093.2,0.86,0.73,0.99,537.5912000000001,387319,6409.681868324817,0.018629
Maine,1338404,Portland,66417,Maine,ME,23,13.38404,"[63537, 170123, 521003, 323078, 265104]","[4747.221317330193, 12710.885502434243, 38927.18491576534, 24139.049195907963, 19807.472183286958]",464656.0,34717.170600207406,1057.1,1.1,0.83,1.4,710.9489,45794,3421.5378913990094,0.023079
